timestamp(ms),DPTH.Depth,DPTH.Lng,DPTH.Lat
45528.372,0.9179999828338623,-807309652,353037367
45628.372,0.9469999670982361,-807309651,353037366
45728.372,0.9869999289512634,-807309651,353037365
45828.372,0.9980000257492065,-807309650,353037365
45928.372,1.0230000019073486,-807309649,353037364
46028.372,1.0490000247955322,-807309649,353037365
46128.372,1.0950000286102295,-807309649,353037365
46228.372,1.125,-807309649,353037364
46328.372,1.1999999284744263,-807309649,353037364
46428.372,1.2330000400543213,-807309647,353037363
46528.372,1.2889999151229858,-807309647,353037362
46628.372,1.3239998817443848,-807309646,353037360
46728.372,1.3799999952316284,-807309645,353037359
46828.372,1.4139999151229858,-807309643,353037357
46928.372,1.4369999170303345,-807309642,353037355
47028.372,1.5,-807309639,353037350
47128.372,1.5759999752044678,-807309638,353037348
47228.372,1.6419999599456787,-807309637,353037348
47328.372,1.6959999799728394,-807309635,353037347
47428.372,1.7589999437332153,-807309637,353037348
47528.372,1.8189998865127563,-807309636,353037347
47628.372,1.8889999389648438,-807309634,353037344
47728.372,1.9499999284744263,-807309633,353037342
47828.372,2.069000005722046,-807309630,353037338
47928.372,2.133999824523926,-807309629,353037336
48028.372,0.5799999833106995,-807309627,353037336
48128.372,0.5659999847412109,-807309626,353037334
48228.372,0.5529999732971191,-807309620,353037323
48328.372,0.5419999957084656,-807309617,353037319
48428.372,0.5299999713897705,-807309617,353037308
48528.372,0.5059999823570251,-807309619,353037313
48628.372,0.4919999837875366,-807309616,353037302
48728.372,0.4790000021457672,-807309614,353037293
48828.372,0.4650000035762787,-807309611,353037283
48928.372,0.4479999840259552,-807309609,353037277
49028.372,0.4359999895095825,-807309608,353037271
49128.372,0.4229999780654907,-807309607,353037265
49228.372,0.40299999713897705,-807309607,353037256
49328.372,0.3919999897480011,-807309608,353037251
49428.372,0.38199999928474426,-807309609,353037248
49528.372,0.37299999594688416,-807309611,353037243
49628.372,0.3649999797344208,-807309611,353037240
49728.372,0.3579999804496765,-807309613,353037237
49828.372,0.3619999885559082,-807309615,353037233
49928.372,0.3720000088214874,-807309620,353037226
50028.372,0.375,-807309622,353037222
50128.372,0.3790000081062317,-807309625,353037219
50228.372,0.38199999928474426,-807309627,353037217
50328.372,0.38599997758865356,-807309629,353037214
50428.372,0.390999972820282,-807309631,353037212
50528.372,0.39499998092651367,-807309631,353037212
50628.372,0.40299999713897705,-807309632,353037211
50728.372,0.4169999957084656,-807309633,353037211
50828.372,0.42399999499320984,-807309633,353037212
50928.372,0.42799997329711914,-807309634,353037212
51028.372,0.44099998474121094,-807309634,353037212
51128.372,0.4479999840259552,-807309634,353037212
51228.372,0.45499998331069946,-807309635,353037212
51328.372,0.4740000069141388,-807309636,353037212
51428.372,0.515999972820282,-807309637,353037212
51528.372,0.5289999842643738,-807309637,353037212
51628.372,0.5299999713897705,-807309639,353037212
51728.372,0.5320000052452087,-807309642,353037212
51828.372,0.5359999537467957,-807309648,353037211
51928.372,0.5419999957084656,-807309655,353037211
52028.372,0.5529999732971191,-807309676,353037210
52128.372,0.562999963760376,-807309687,353037210
52228.372,0.5709999799728394,-807309702,353037210
52328.372,0.5729999542236328,-807309715,353037209
52428.372,0.5789999961853027,-807309727,353037208
52528.372,0.5870000123977661,-807309742,353037208
52628.372,0.6029999852180481,-807309753,353037208
52728.372,0.6209999918937683,-807309766,353037207
52828.372,0.6399999856948853,-807309786,353037206
52928.372,0.6489999890327454,-807309794,353037206
53028.372,0.6549999713897705,-807309803,353037206
53128.372,0.6499999761581421,-807309813,353037207
53228.372,0.6680000424385071,-807309822,353037208
53328.372,0.6859999895095825,-807309833,353037210
53428.372,0.7049999833106995,-807309842,353037210
53528.372,0.7229999899864197,-807309853,353037213
53628.372,0.7590000033378601,-807309874,353037217
53728.372,0.7590000033378601,-807309874,353037217
53828.372,0.7959999442100525,-807309894,353037223
53928.372,0.8199999928474426,-807309903,353037226
54028.372,0.8449999690055847,-807309915,353037231
54128.372,0.8709999918937683,-807309924,353037235
54228.372,0.8959999680519104,-807309933,353037240
54328.372,0.9199999570846558,-807309944,353037245
54428.372,0.9619999527931213,-807309964,353037256
54528.372,0.9799999594688416,-807309972,353037260
54628.372,1.0019999742507935,-807309983,353037266
54728.372,1.024999976158142,-807309992,353037270
54828.372,1.0490000247955322,-807310004,353037276
54928.372,1.0729999542236328,-807310013,353037280
55028.372,1.0959999561309814,-807310025,353037286
55128.372,1.11899995803833,-807310034,353037290
55228.372,1.1399999856948853,-807310045,353037295
55328.372,1.1779999732971191,-807310061,353037302
55428.372,1.1979999542236328,-807310070,353037306
55528.372,1.218000054359436,-807310076,353037309
55628.372,1.2369999885559082,-807310083,353037311
55728.372,1.253000020980835,-807310089,353037313
55828.372,1.2739999294281006,-807310095,353037315
55928.372,1.2929999828338623,-807310099,353037317
56028.372,1.313999891281128,-807310104,353037319
56128.372,1.3530000448226929,-807310113,353037322
56228.372,1.3760000467300415,-807310117,353037323
56328.372,1.3960000276565552,-807310122,353037325
56428.372,1.4139999151229858,-807310126,353037326
56528.372,1.4299999475479126,-807310130,353037327
56628.372,1.4449999332427979,-807310133,353037328
56728.372,1.459999918937683,-807310136,353037328
56828.372,1.4819999933242798,-807310140,353037329
56928.372,1.496000051498413,-807310142,353037329
57028.372,1.5089999437332153,-807310145,353037330
57128.372,1.5410000085830688,-807310151,353037331
57228.372,1.555999994277954,-807310154,353037332
57328.372,1.5729999542236328,-807310158,353037332
57428.372,1.58899986743927,-807310161,353037333
57528.372,1.621000051498413,-807310163,353037333
57628.372,1.63100004196167,-807310166,353037333
57728.372,1.6419999599456787,-807310169,353037334
57828.372,1.6729999780654907,-807310172,353037334
57928.372,1.680999994277954,-807310174,353037335
58028.372,1.7009999752044678,-807310177,353037335
58128.372,1.7109999656677246,-807310180,353037336
58228.372,1.75,-807310184,353037336
58328.372,1.7589999437332153,-807310187,353037336
58428.372,1.7680000066757202,-807310189,353037336
58528.372,1.7569999694824219,-807310192,353037336
58628.372,1.7410000562667847,-807310193,353037336
58728.372,1.7549999952316284,-807310196,353037336
58828.372,1.7839999198913574,-807310197,353037336
58928.372,1.8009999990463257,-807310200,353037337
59028.372,1.8179999589920044,-807310202,353037337
59128.372,1.8259999752044678,-807310204,353037337
59228.372,1.8499999046325684,-807310206,353037337
59328.372,1.8359999656677246,-807310210,353037338
59428.372,1.8600000143051147,-807310211,353037339
59528.372,1.8700000047683716,-807310213,353037339
59628.372,1.846000075340271,-807310215,353037340
59728.372,1.8799999952316284,-807310217,353037340
59828.372,1.8650000095367432,-807310219,353037340
